Aquí tienes la información solicitada y el CSV con las transacciones de la tarjeta de crédito.

---

**Información General del Estado de Cuenta:**

*   **Periodo de Facturación:** Del 24/03/2026 al 22/04/2026
*   **Moneda:** Moneda Nacional (implica Pesos Chilenos - CLP, dado el contexto de Santander y LATAM en Chile).
*   **Monto Facturado Anterior:** $17.045.465
*   **Monto Facturado del Periodo:** $4.448.873

---

**CSV de Transacciones:**

```csv
Tarjeta,Lugar_Operacion,Fecha_Operacion,Descripcion_Operacion,Tipo_Cuota,N_Cuota,Monto_Periodo
XXXX-8996,,10/01/2026,MP *MERCADO LIBRE,N/CUOTAS PRECIO,04/06,68396
XXXX-8996,,06/02/2026,LATAM.COM XP OTRAS,TRES CUOTAS PREC,03/03,96834
XXXX-8996,SANTIAGO,24/03/2026,SOAP,,,5990
XXXX-8996,SANTIAGO,24/03/2026,PAYU *UBER EATS,,,5069
XXXX-8996,SANTIAGO,24/03/2026,PAYU *UBER EATS,,,142980
XXXX-8996,SANTIAGO,25/03/2026,PAYU *UBER EATS,,,6017
XXXX-8996,SANTIAGO,25/03/2026,PAYU *UBER EATS,,,160977
XXXX-8996,SANTIAGO,26/03/2026,MUNICIPALIDAD DE LO BA,,,683378
XXXX-8996,SANTIAGO,26/03/2026,PAYU *UBER EATS,,,95581
XXXX-8996,SANTIAGO,27/03/2026,DL*STARLINK,,,47000
XXXX-8996,Las Condes,29/03/2026,MERCADOPAGO *MERCADOL,,,46042
XXXX-8996,SANTIAGO,30/03/2026,PAYU *UBER EATS,,,3348
XXXX-8996,SANTIAGO,30/03/2026,PAYU *UBER EATS,,,96648
XXXX-8996,SANTIAGO,31/03/2026,PAYU *UBER EATS,,,103320
XXXX-8996,SANTIAGO,31/03/2026,PAYU *UBER EATS,,,3410
XXXX-8996,SANTIAGO,01/04/2026,PAYU *UBER EATS,,,35779
XXXX-8996,SANTIAGO,03/04/2026,PAYU *UBER EATS,,,3041
XXXX-8996,SANTIAGO,03/04/2026,PAYU *UBER EATS,,,80489
XXXX-8996,SANTIAGO,04/04/2026,PAYU *UBER EATS,,,97463
XXXX-8996,CONCEPCION,06/04/2026,AMAZON.COM,,,23257
XXXX-8996,SANTIAGO,06/04/2026,PAYU *UBER EATS,,,2790
XXXX-8996,SANTIAGO,06/04/2026,PAYU *UBER EATS,,,83334
XXXX-8996,LAS CONDES,06/04/2026,UBER,,,3990
XXXX-8996,SANTIAGO,07/04/2026,PAYU *UBER EATS,,,3137
XXXX-8996,SANTIAGO,07/04/2026,PAYU *UBER EATS,,,101037
XXXX-8996,LAS CONDES,07/04/2026,AMAZON,,,18411
XXXX-8996,SANTIAGO,08/04/2026,PAYU *UBER EATS,,,148480
XXXX-8996,,09/04/2026,MONTO CANCELADO,,,-17045465
XXXX-8996,LAS CONDES,11/04/2026,NETFLIX NETFLIX.COM,COMPRAS P.A.T.,,12990
XXXX-8996,SANTIAGO,12/04/2026,PAYU *UBER EATS,,,104785
XXXX-8996,SANTIAGO,13/04/2026,PAYU *UBER EATS,,,183977
XXXX-8996,SANTIAGO,13/04/2026,PAYU *UBER EATS,,,6149
XXXX-8996,SANTIAGO,19/04/2026,LATAM.COM XP INTER,,,254025
XXXX-1333,,05/12/2025,MERPAGO*MERCADOLIBRE,N/CUOTAS PRECIO,05/06,2165
XXXX-1333,,05/12/2025,MERPAGO*MERCADOLIBRE,N/CUOTAS PRECIO,05/12,1647
XXXX-1333,Las Condes,16/04/2026,MP *AS98,,,379990
XXXX-1333,LO BARNECHEA,17/04/2026,CENTRAL PARKING SYSTEM,,,3000
XXXX-1333,SANTIAGO,17/04/2026,PAYU *UBER EATS,,,54408
XXXX-1333,SANTIAGO,18/04/2026,PAYU *UBER EATS,,,100280
XXXX-1333,SANTIAGO,19/04/2026,PAYU *UBER EATS,,,3166
XXXX-1333,SANTIAGO,19/04/2026,PAYU *UBER EATS,,,26368
XXXX-1333,SANTIAGO,19/04/2026,PAYU *UBER EATS,,,105561
XXXX-1333,SANTIAGO,20/04/2026,DP *FALABELLA.COM,,,1000000
XXXX-1333,SANTIAGO,20/04/2026,PAYU *UBER EATS,,,1286
XXXX-1333,SANTIAGO,20/04/2026,PAYU *UBER EATS,,,42878
```
